,Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
0,A786320,35 AUSTIN78722,Yes (come to the shelter),12/22/2018,Dog,Pit Bull Mix,Fawn/White,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786320
1,A786346,"23RD STREET
AUSTIN 78712",Yes (come to the shelter),12/22/2018,Cat,Domestic Shorthair Mix,Black/White,Neutered Male,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786346
2,A786359,2222 AUSTIN78731,No (contact for more info),12/22/2018,Dog,Miniature Poodle Mix,White,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786359
3,A786323,"WEST BRODIE LANE
AUSTIN 78749",Yes (come to the shelter),12/22/2018,Dog,German Shepherd Mix,Black/Tan,Intact Male,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786323
4,A786326,"3819 SOUTHWAY DRIVE
AUSTIN 78704
(30.230786, -97.776039)",Yes (come to the shelter),12/22/2018,Dog,German Shorthair Pointer Mix,Brown/White,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786326
5,A786324,"9708 MANCHACA ROAD
AUSTIN 78744
(30.175293, -97.823033)",No (contact for more info),12/22/2018,Cat,Domestic Shorthair Mix,Orange Tabby/White,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A786324
6,A786363,"6828 NORTH IH
AUSTIN 78753",No (contact for more info),12/22/2018,Cat,Domestic Shorthair Mix,Black/White,Intact Female,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786363
7,A786366,"1137 MASON AVENUE
AUSTIN 78721
(30.274831, -97.684806)",No (contact for more info),12/22/2018,Dog,Chihuahua Shorthair/Dachshund,Tan/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786366
8,A786347,"23RD STREET
AUSTIN 78712",Yes (come to the shelter),12/22/2018,Cat,Domestic Shorthair Mix,Black/White,Spayed Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786347
9,A786367,"3607 GREYSTONE DRIVE
AUSTIN 78731
(30.358434, -97.753007)",No (contact for more info),12/22/2018,Cat,Domestic Shorthair Mix,Orange Tabby/White,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786367
10,A786368,"WESTLAKE DRIVE
CAVES BEE CAVE 78746",No (contact for more info),12/22/2018,Dog,French Bulldog Mix,Black/White,Intact Female,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786368
11,A786369,"11216 CEDARCLIFFE DRIVE
AUSTIN 78750
(30.430399, -97.787014)",No (contact for more info),12/22/2018,Dog,Shih Tzu Mix,White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786369
