animal_id	animal_type	sex	primary_bree	dob	secondary_	kennel_no	impound_no	intake_type	intake_subtype	intake_date	s_n_date	intake_cond	weight	weight_1_week	outcome_type	outcome_subtype	outcome_date	due_out_date	outcome_cond	days_old	dob_abs	intake_date_abs	outcome_date_abs	days_intake_to_s_n_date	location_1	location_1_date	location_2	location_2_date	behavior_cond	outcome_behavior_cond	euth_reason	intake_date_form_2	los	los_1	los_2	age_s_n_date	weight_difference	in_to_due_out_date_diff	due_out_to_outcome_date_diff
A154696	CAT	S	DOMESTIC MH	2009-08-18 00:00:00		C09	K16-045870	STRAY	UNHEALTH	2016-08-08 00:00:00		CMUU 5	6.31		TRANS CAT	UNHEALTHY	2017-01-05 00:00:00	2016-08-12 00:00:00	CMUU 5	2547.0					RECEIVING	2016-08-08 15:24:00	C56	2016-09-28 13:15:00				2016-08-08 00:00:00	150.0	0.64167	50.91042			4.0	146.0
A035728	CAT	S	DOMESTIC SH	2008-01-18 00:00:00		C04	K16-046133	STRAY	MANAGEAB	2016-09-03 00:00:00		CMTM 00			ADOPTION	MANAGEABLE	2017-01-14 00:00:00	2016-09-14 00:00:00	CMTM 00	3151.0					RECEIVING	2016-09-03 14:53:00	C56	2016-10-01 15:37:00		P118297		2016-09-03 00:00:00	133.0	0.62014	28.03056			11.0	122.0
A170228	DOG	N	AM PIT BULL TER	2011-03-14 00:00:00		25	K16-046284	STRAY	UNHEALTH	2016-09-19 00:00:00	2016-10-13 00:00:00	DMUU 5	77.0		TRANS OHS	UNHEALTHY	2017-01-03 00:00:00	2016-09-28 00:00:00	DMUU 5	2016.0									P127022	P127022		2016-09-19 00:00:00	106.0			2040.0		9.0	97.0
A160153	CAT	N	DOMESTIC MH	2011-10-18 00:00:00		C19	K16-046529	STRAY	REHAB	2016-10-11 00:00:00		CMTR 1	12.69		TRANS CAT	REHAB	2017-02-09 00:00:00	2016-10-15 00:00:00	CMTR 1	1820.0					RECEIVING	2016-10-11 16:54:00	C61	2017-01-27 14:45:00				2016-10-11 00:00:00	121.0	0.70417	107.91042			4.0	117.0
A161981	CAT	S	DOMESTIC LH	2008-05-03 00:00:00		C14	K16-046944	STRAY	MANAGEAB	2016-11-22 00:00:00		CMTM 00	10.19		ADOPTION	MANAGEABLE	2017-01-03 00:00:00	2016-12-02 00:00:00	CMTM 00	3125.0					RECEIVING	2016-11-22 11:53:00	C41	2016-12-03 14:21:00				2016-11-22 00:00:00	42.0	0.49514	11.10278			10.0	32.0
A162352	CAT	S	DOMESTIC LH	2011-12-06 00:00:00		C20	K16-047022	STRAY	UNHEALTH	2016-11-30 00:00:00		CBUU 2	9.88		ADOPTION	UNHEALTHY	2017-01-18 00:00:00	2017-01-03 00:00:00	CBUU 2	1821.0					RECEIVING	2016-11-30 16:26:00	C30	2017-01-02 13:15:00				2016-11-30 00:00:00	49.0	0.68472	32.86736			34.0	15.0
A162698	DOG	N	CHIHUAHUA SH	2013-12-17 00:00:00		27	K16-047093	STRAY	MANAGEAB	2016-12-07 00:00:00	2017-01-05 00:00:00	DMTM 8	6.6		ADOPTION	MANAGEABLE	2017-01-21 00:00:00	2016-12-11 00:00:00	DMTM 8	1086.0					RECEIVING	2016-12-07 14:04:00	33	2016-12-31 17:42:00				2016-12-07 00:00:00	45.0	0.58611	24.15139	1115.0		4.0	41.0
A162785	DOG	N	CHIHUAHUA SH	2016-04-20 00:00:00	MIX	32	K16-047132	STRAY	REHAB	2016-12-12 00:00:00	2017-01-10 00:00:00	DBTR 1			RESCUE OTH	REHAB	2017-01-14 00:00:00	2016-12-16 00:00:00	DBTR 1	236.0					3	2016-12-12 17:14:00	3	2016-12-20 15:28:00				2016-12-12 00:00:00	33.0	0.71806	7.92639	265.0		4.0	29.0
A162812	DOG	S	TERRIER	2014-12-23 00:00:00	MIX	28	K16-047142	STRAY	MANAGEAB	2016-12-14 00:00:00	2017-01-06 00:00:00	DBTM 4	11.8		ADOPTION	MANAGEABLE	2017-01-07 00:00:00	2016-12-18 00:00:00	DBTM 4	722.0					RECEIVING	2016-12-14 10:47:00	36	2017-01-06 11:59:00				2016-12-14 00:00:00	24.0	0.44931	23.05	745.0		4.0	20.0
A162857	DOG	S	POMERANIAN	2010-12-27 00:00:00		35	K16-047161	STRAY	UNHEALTH	2016-12-17 00:00:00	2017-01-05 00:00:00	DMUU 5	10.2		TRANS OTH	UNHEALTHY	2017-01-05 00:00:00	2016-12-22 00:00:00	DMUU 5	2182.0					RECEIVING	2016-12-17 09:27:00	15	2016-12-26 14:53:00				2016-12-17 00:00:00	19.0	0.39375	9.22639	2201.0		5.0	14.0
A162900	DOG	M	POODLE MIN	2014-12-27 00:00:00	MIX	34	K16-047171	STRAY	MANAGEAB	2016-12-19 00:00:00		DBTM 4	17.0		TRANS OHS	MANAGEABLE	2017-01-03 00:00:00	2016-12-23 00:00:00	DBTM 4	723.0					STRAY DOGS	2016-12-19 15:12:00	21	2016-12-27 16:37:00				2016-12-19 00:00:00	15.0	0.63333	8.05903			4.0	11.0
