intake_index,animal_id,name,datetime,monthyear,found_location,intake_type,intake_condition,animal_type,sex_upon_intake,age_upon_intake,breed,color,los,outcome_index,outcome_animal_id,outcome_name,outcome_datetime,outcome_monthyear,outcome_date_of_birth,outcome_type,outcome_subtype,outcome_animal_type,sex_upon_outcome,age_upon_outcome,outcome_breed,outcome_color,days_old,species
0,A748291,*Madison,05/01/2017 02:26:00 PM,05/01/2017 02:26:00 PM,S Pleasant Valley Rd And E Riverside Dr in Austin (TX),Stray,Normal,Dog,Intact Female,10 months,Pit Bull Mix,Black,125,47948,A748291,*Madison,09/04/2017 12:00:00 AM,09/04/2017 12:00:00 AM,06/01/2016,Transfer,Partner,Dog,Spayed Female,1 year,Pit Bull Mix,Black,334,Dog
1,A750529,,05/28/2017 01:22:00 PM,05/28/2017 01:22:00 PM,8312 North Ih 35 in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Miniature Schnauzer Mix,White/Cream,4,15692,A750529,,06/01/2017 04:42:00 PM,06/01/2017 04:42:00 PM,12/21/2016,Transfer,Partner,Dog,Spayed Female,5 months,Miniature Schnauzer Mix,White/Cream,158,Dog
2,A730601,,07/07/2016 12:11:00 PM,07/07/2016 12:11:00 PM,1109 Shady Ln in Austin (TX),Stray,Normal,Cat,Intact Male,7 months,Domestic Shorthair Mix,Blue Tabby,0,44961,A730601,,07/08/2016 09:00:00 AM,07/08/2016 09:00:00 AM,12/07/2015,Transfer,SCRP,Cat,Neutered Male,7 months,Domestic Shorthair Mix,Blue Tabby,213,Cat
3,A748238,,05/01/2017 10:53:00 AM,05/01/2017 10:53:00 AM,Airport Blvd And Oak Springs Dr in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Bichon Frise Mix,White,5,40699,A748238,,05/06/2017 03:57:00 PM,05/06/2017 03:57:00 PM,05/01/2014,Transfer,Partner,Dog,Neutered Male,3 years,Bichon Frise Mix,White,1096,Dog
4,A683644,*Zoey,07/13/2014 11:02:00 AM,07/13/2014 11:02:00 AM,Austin (TX),Owner Surrender,Nursing,Puppy,Intact Female,4 weeks,Border Collie Mix,Brown/White,115,17113,A683644,*Zoey,11/06/2014 10:06:00 AM,11/06/2014 10:06:00 AM,06/13/2014,Adoption,Foster,Dog,Spayed Female,4 months,Border Collie Mix,Brown/White,30,Dog
5,A767459,Blue,03/04/2018 11:05:00 AM,03/04/2018 11:05:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White,13,19146,A767459,Blue,03/17/2018 06:52:00 PM,03/17/2018 06:52:00 PM,09/01/2015,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White,915,Dog
6,A676515,Rico,04/11/2014 08:45:00 AM,04/11/2014 08:45:00 AM,615 E. Wonsley in Austin (TX),Stray,Normal,Puppy,Intact Male,2 months,Pit Bull Mix,White/Brown,3,84280,A676515,Rico,04/14/2014 06:38:00 PM,04/14/2014 06:38:00 PM,01/11/2014,Return to Owner,,Dog,Neutered Male,3 months,Pit Bull Mix,White/Brown,90,Dog
7,A679549,*Gilbert,05/22/2014 03:43:00 PM,05/22/2014 03:43:00 PM,124 W Anderson in Austin (TX),Stray,Normal,Kitten,Intact Male,1 month,Domestic Shorthair Mix,Black/White,24,86852,A679549,*Gilbert,06/16/2014 01:54:00 PM,06/16/2014 01:54:00 PM,03/31/2014,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,52,Cat
8,A683798,Mustachala,07/21/2016 12:16:00 PM,07/21/2016 12:16:00 PM,3118 Windsor Rd in Austin (TX),Stray,Normal,Cat,Spayed Female,3 years,Domestic Medium Hair Mix,White/Black,88,33522,A683798,Mustachala,10/18/2016 10:55:00 AM,10/18/2016 10:55:00 AM,01/15/2013,Adoption,Foster,Cat,Spayed Female,3 years,Domestic Medium Hair Mix,White/Black,1283,Cat
9,A777959,Hamilton,09/14/2018 03:26:00 PM,09/14/2018 03:26:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,9 months,Anatol Shepherd Mix,Brown/Tricolor,2,27641,A777959,Hamilton,09/16/2018 06:44:00 PM,09/16/2018 06:44:00 PM,12/06/2017,Adoption,,Dog,Neutered Male,9 months,Anatol Shepherd Mix,Brown/Tricolor,282,Dog
