Star,HD,RA,dec,Vmag,Vmagerr,par,parerr,source,teff,tefferr,logg,loggerr,logglc,logglcerr,vt,vterr,feh,feherr,mass,masserr,Author,link,flag,updated,Comment,tmp
11 Com,107383,12 20 43.02,+17 47 34.33,4.74,0.02,10.71,0.22,GAIADR2,4830.0,79.0,2.61,0.13,,,1.7,0.1,-0.34,0.06,2.14,0.28,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,, 11 Com
11 UMi,136726,15 17 05.88,+71 49 26.04,5.01,0.01,7.95,0.12,GAIADR2,4255.0,88.0,1.8,0.26,,,1.79,0.08,-0.13,0.04,3.4,0.76,Sousa et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150302443S,1,2018-07-30,, 11 UMi
14 And,221345,23 31 17.41,+39 14 10.30,5.22,,13.23,0.12,GAIADR2,4709.0,37.0,2.44,0.12,,,1.51,0.03,-0.29,0.03,2.38,0.29,Sousa et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150302443S,1,2018-07-30,, 14 And
14 Her,145675,16 10 24.31,+43 49 03.52,6.67,,55.74,0.02,GAIADR2,5286.0,58.0,4.24,0.11,,,0.8,0.09,0.38,0.04,0.99,0.09,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,, 14 Her
16 Cyg B,186427,19 41 51.97,+50 31 03.08,6.2,,47.28,0.02,GAIADR2,5783.0,19.0,4.42,0.03,,,0.96,0.03,0.09,0.01,1.01,0.08,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,, 16 Cyg B
18 Del,199665,20 58 25.93,+10 50 21.42,5.51,0.01,13.09,0.11,GAIADR2,5076.0,38.0,3.08,0.1,,,1.32,0.04,0.0,0.03,1.76,0.18,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,, 18 Del
1SWASP J1407,,14 07 48.00,-39 45 43.00,12.31,0.03,7.18,0.04,GAIADR2,4400.0,100.0,4.0,,,,,,,,,,Kenworthy et al. 2014,http://adsabs.harvard.edu/abs/2015MNRAS.446..411K,0,2018-07-30,,ASAS J140748-3945.7
24 Sex,90043,10 23 28.37,-00 54 08.09,6.44,0.01,13.85,0.13,GAIADR2,5069.0,62.0,3.4,0.13,,,1.27,0.07,-0.01,0.05,1.4,0.16,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,, 24 Sex
30 Ari B,16232,02 36 57.74,+24 38 53.03,7.09,,22.36,0.05,GAIADR2,6284.0,98.0,4.35,0.2,,,,,0.12,0.08,1.25,0.17,Tsantaki et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1407.6765T,1,2018-07-30,, 30 Ari B
38 Vir,111998,12 53 11.16,-03 33 11.16,6.11,,30.07,0.05,GAIADR2,6440.0,51.0,4.42,0.22,,,-1.0,-1.0,0.16,0.05,1.3,0.17,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,, 38 Vir
